Level	No	Task	작업자	산출물		시작	완료	소요기간
				산출물 명	구분			
1	1	요구분석	전체	요구분석서	문서	2025-08-11	2025-08-12	2일
2	1.1	주제 선정 및 분석	전체	주제 선정서, 시장 분석서	문서	2025-08-11	2025-08-11	1일
2	1.2	시스템 아키텍처 설계	전체	시스템 아키텍처 다이어그램	문서	2025-08-11	2025-08-12	2일
2	1.3	사용자 역할 및 권한 정의	전체	사용자 역할 명세서	문서	2025-08-12	2025-08-12	1일
1	2	설계	전체	설계서	문서	2025-08-12	2025-08-14	3일
2	2.1	데이터베이스 스키마 설계	전체	ERD, 테이블 설계서	문서	2025-08-12	2025-08-13	2일
2	2.2	API 명세서 작성	전체	API 문서, 엔드포인트 설계	문서	2025-08-12	2025-08-13	2일
2	2.3	UI/UX 와이어프레임 설계	전체	와이어프레임, 화면설계서	문서	2025-08-13	2025-08-14	2일
2	2.4	데이터베이스 초기 구축	전체	Supabase 스키마, RLS 정책	설정	2025-08-13	2025-08-14	2일
1	3	백엔드 구현	전체	백엔드 모듈	코드	2025-08-14	2025-08-18	3일
2	3.1	백엔드 핵심 모듈 구현	전체	Express.js 서버, API 라우터	코드	2025-08-14	2025-08-15	2일
2	3.2	인증 시스템 구현	전체	Supabase Auth 연동, JWT 처리	코드	2025-08-14	2025-08-15	2일
2	3.3	데이터베이스 연동	전체	Supabase 클라이언트, CRUD 로직	코드	2025-08-15	2025-08-18	2일
2	3.4	실시간 알림 시스템 구현	전체	WebSocket, 실시간 구독	코드	2025-08-15	2025-08-18	2일
1	4	프론트엔드 구현	전체	프론트엔드 컴포넌트	코드	2025-08-15	2025-08-20	4일
2	4.1	공통 컴포넌트 개발	전체	LoadingSpinner, Modal, Form	코드	2025-08-15	2025-08-15	1일
2	4.2	고객 모듈 개발	전체	고객용 페이지 및 컴포넌트	코드	2025-08-15	2025-08-18	2일
3	4.2.1	지점 선택 및 위치 기반 서비스	전체	StoreSelection, GPS 연동	코드	2025-08-15	2025-08-15	1일
3	4.2.2	상품 카탈로그 및 장바구니	전체	ProductCatalog, Cart 컴포넌트	코드	2025-08-15	2025-08-18	2일
3	4.2.3	주문 처리 및 결제	전체	OrderProcess, 결제 시스템	코드	2025-08-18	2025-08-18	1일
2	4.3	점주 모듈 개발	전체	점주용 페이지 및 컴포넌트	코드	2025-08-18	2025-08-19	2일
3	4.3.1	주문 관리 시스템	전체	OrderManagement, 실시간 알림	코드	2025-08-18	2025-08-18	1일
3	4.3.2	재고 관리 및 물류 요청	전체	InventoryManagement, SupplyRequest	코드	2025-08-18	2025-08-19	2일
3	4.3.3	매출 분석 및 리포트	전체	SalesAnalytics, Report 생성	코드	2025-08-19	2025-08-19	1일
2	4.4	본사 모듈 개발	전체	본사용 페이지 및 컴포넌트	코드	2025-08-19	2025-08-20	2일
3	4.4.1	다중 지점 관리	전체	MultiStoreManagement, 대시보드	코드	2025-08-19	2025-08-19	1일
3	4.4.2	상품 마스터 데이터 관리	전체	ProductMaster, 카테고리 관리	코드	2025-08-19	2025-08-20	2일
3	4.4.3	물류 승인 워크플로우	전체	SupplyApproval, 워크플로우	코드	2025-08-20	2025-08-20	1일
1	5	외부 연동 시스템	전체	외부 API 연동	코드	2025-08-18	2025-08-19	2일
2	5.1	결제 시스템 연동	전체	Toss Payments SDK, 결제 로직	코드	2025-08-18	2025-08-19	2일
2	5.2	지도 서비스 연동	전체	Google Maps API, 위치 서비스	코드	2025-08-18	2025-08-19	2일
